feature,importance
SEASONAL_INDEX,0.9813210777307297
CONSUMPTION_TREND_7D,0.0034105125698230014
TOTAL_ITEMS_NORMALIZED,0.0033887685641018116
ITEMS_NORMALIZED,0.0032788883865892014
TOTAL_DEMAND,0.00262328502297212
NUM_ITEMS,0.002122985524786293
ITEMS_PER_CATEGORY,0.0017685443817657832
PASSENGERS_X_ITEMS,0.0005155349304587079
WAREHOUSE_7D_AVG,0.0003021863881485742
CONSUMPTION_PER_PASSENGER,0.00020173893652612946
PASSENGERS_X_CATEGORIES,0.00016479656199673234
PASSENGERS,0.00016067881929166233
ROUTE_FREQUENCY_NORMALIZED,0.00011613832145264896
MONTH_COS,8.08867501931417e-05
CONSUMPTION_LAG_1,7.900660025933071e-05
PASSENGERS_NORMALIZED,7.630921156410844e-05
HUB_ROUTE_PASSENGERS,7.083636530365347e-05
CATEGORIES_PER_PASSENGER,6.406159362248641e-05
ORIGIN_FREQUENCY,5.4172847782445e-05
IS_LOW_SEASON,5.1633717803974244e-05
PASSENGERS_LAG_1,2.7709598257551888e-05
ITEMS_PER_PASSENGER,2.2148118933627414e-05
ROUTE_FREQUENCY,1.7158816525937732e-05
STOCKOUT_RATE,1.6050950222179106e-05
ROUTE_STOCKOUT_HISTORY,1.3956158022307016e-05
STOCKOUT_QTY,1.1170531984315959e-05
CONSUMPTION_LAG_7,7.031380109729396e-06
ROUTE_30D_AVG,6.378781731438063e-06
PASSENGERS_LAG_7,5.248172156755337e-06
ROUTE_COMPLEXITY,4.821302325897497e-06
STOCKOUT_OCCURRED,4.325048178638962e-06
MONTH_SIN,3.2889734532591933e-06
ROUTE_7D_AVG,3.0892111263818246e-06
DAY_SIN,2.2050626620964476e-06
DAY_COS,1.7917302768177663e-06
WEEKEND_ROUTE_INTERACTION,7.764429747912178e-07
IS_WEEKEND,2.2148229258460004e-07
NUM_CATEGORIES,1.6575811639580814e-07
CATEGORY_DIVERSITY_INDEX,1.3786363025956573e-07
WAREHOUSE_ACTIVITY,1.2534514670654045e-07
WAREHOUSE_Porto,5.820190682959448e-08
WAREHOUSE_AVG_CONSUMPTION,3.593830520671365e-08
WAREHOUSE_STOCKOUT_RATE,3.216155169453522e-08
WAREHOUSE_Lisbon,1.8986793604292422e-08
WAREHOUSE_Madrid ,8.599564463101203e-09
IS_HUB_ROUTE,2.158578870444488e-09
IS_PEAK_SEASON,0.0
IS_INTERNATIONAL,0.0
WAREHOUSE_Palma de Mallorca,0.0
PEAK_SEASON_PASSENGERS,0.0
